,sentence,cluster,distance_from_cluster_center,cluster_average_distance_from_center,deviation_from_mean_dist_from_center,cluster_distance_std_from_center
36,"or said very lastname, probably leave them for now",1,0.9567155263317159,0.9528044425537741,0.003911083777941804,0.004265219544808686
37,yeah the timer got to zero but we aren't moving to daytime. ,61,0.8372369309100485,0.8486199102987573,0.011382979388708803,0.03075818388192046
38,bystander here,64,0.9999999467191066,0.9999999831576672,3.6438560613305526e-08,4.763362861234064e-08
39,i am a bystander too.,64,0.9999999560759677,0.9999999831576672,2.7081699549569294e-08,4.763362861234064e-08
40,bystander too.,64,0.9999999775523649,0.9999999831576672,5.605302333400175e-09,4.763362861234064e-08
41,wow isn't that convenient,55,1.1220832131518867,0.9328362459290007,0.18924696722288603,0.12545048808376122
42,right.,75,0.9990522966832085,0.9991416250715757,8.932838836717139e-05,0.00017998588292276248
43,noooooo,92,0.8764891026267193,0.6766614866198202,0.19982761600689913,0.2962311700083855
44,firstname lastname was the first to accuse me. they are mafia,25,0.9903388793799347,0.9897311651733597,0.0006077142065750163,0.000856341231924151
45,rip me,67,0.9970706848693698,0.9979666090711544,0.0008959242017846369,0.0003859492433240073
46,you guys just killed a bystander,64,0.9999999857879655,0.9999999831576672,2.630298201466985e-09,4.763362861234064e-08
47,i am a bystander. dont kill me,64,1.0000000117094292,0.9999999831576672,2.855176195470932e-08,4.763362861234064e-08
48,bystander here also,64,0.9999999940488967,0.9999999831576672,1.089122947384169e-08,4.763362861234064e-08
49,"well, then... ",75,0.99921544460029,0.9991416250715757,7.381952871432507e-05,0.00017998588292276248
50,hi ,8,0.9999974235229239,0.999997510901533,8.737860912599871e-08,1.765725298009044e-07
51,who should we eliminate tonight? ,94,0.8417500348298962,0.851036911743557,0.009286876913660813,0.020317052983470377
52,sounds good to me. ,18,0.7722105283320799,0.7356155376044243,0.036594990727655596,0.07672722777188604
53,"okay, so we're going to go with firstname?",82,0.9998427695028438,0.999850210406959,7.4409041151968225e-06,9.529730017608334e-06
54,do we start with donna tomorrow? and try to get a trend going?,88,1.1247960108024162,0.9095046971787669,0.21529131362364928,0.14430989847220144
55,i think firstname talks a lot and tries to confuse us. ,51,0.9999055007976428,0.9999130636934231,7.562895780299783e-06,6.687429383198461e-06
56,"firstname lastname here, not a mafia member :)",25,0.9895410792653733,0.9897311651733597,0.00019008590798641478,0.000856341231924151
57,"firstname, it's about time you die",53,0.9999981060749226,0.9999977717577576,3.3431716495169184e-07,2.3375600518710038e-07
58,holy crap they killed our only lead,67,0.998600747844026,0.9979666090711544,0.0006341387728715508,0.0003859492433240073
59,"i don't like firstname lastname, she seems to try to ply herself off.",51,0.9999179768017222,0.9999130636934231,4.913108299087199e-06,6.687429383198461e-06
60,"you guys are making a mistake killing me, i'm firstname lastname, the best bystander in the world",72,0.9924800946967395,0.9925341568249711,5.406212823166889e-05,0.0007706691041675868
61,oof,5,0.9693169901690134,0.9664023612777154,0.00291462889129801,0.008483793331903746
62,firstname and firstname have to be the mafia based on the voting patterns.,25,0.9901963251101068,0.9897311651733597,0.0004651599367471171,0.000856341231924151
63,lol,34,0.36184203529942616,0.4068941663281988,0.045052131028772646,0.11696843987195475
64,"i think so. because mafia know who the other mafia are, and probably wouldn't kill their own",47,0.6171772467258209,0.6663907601643864,0.049213513438565504,0.08073377964213072
65,you guys are going to kill another bystander,64,1.0000001177535216,0.9999999831576672,1.3459585435082744e-07,4.763362861234064e-08
66,i'm trying to help,36,0.9607644572164797,0.9458414473787204,0.014923009837759293,0.012199646172912618
67,and i would've gotten away with it if it wasn't for you meddling kids :d,54,0.9105081501777924,0.8811139162395358,0.029394233938256575,0.01966978517251094
68,"hi, all!",0,0.9997186617745026,0.9997293121484646,1.0650373961973436e-05,4.5808653351005316e-05
69,firstname?,3,0.7323999396891628,0.7445590811429962,0.012159141453833344,0.029393247624748563
70,me too!,43,0.5891943762363148,0.5847759163779362,0.004418459858378521,0.09514179471623053
71,alright,7,0.5815706793007543,0.34595400517246344,0.2356166741282909,0.2732986159199743
72,firstname was a bit too quick to throw firstname under the bus on day one though.,51,0.9999190444878083,0.9999130636934231,5.980794385185284e-06,6.687429383198461e-06
73,and now firstname.,53,0.9999977122606332,0.9999977717577576,5.9497124449414684e-08,2.3375600518710038e-07
74,guess it's all me then.,33,0.7950703488155242,0.7992084101733768,0.004138061357852663,0.04752142202083362
75,"firstname lastname, one woman army.",53,0.9999981909471743,0.9999977717577576,4.191894167338006e-07,2.3375600518710038e-07
76,stalking in the night.,40,0.984466103753538,0.9897263100237156,0.0052602062701775365,0.0018396536777035685
77,eating some donuts.,40,0.9895491572612912,0.9897263100237156,0.00017715276242435962,0.0018396536777035685
78,"hi!, who do you want to elimate?",48,1.4848270463368909,1.2472438855734946,0.23758316076339625,0.2494141482093307
79,hi all!,0,0.9997039452605848,0.9997293121484646,2.536688787979635e-05,4.5808653351005316e-05
80,you pick please,76,0.9996522456049537,0.9997187662537166,6.65206487628911e-05,6.185545168199347e-05
81,hi,8,0.9999974235229239,0.999997510901533,8.737860912599871e-08,1.765725298009044e-07
82,hello,38,0.9998529520198447,0.9998556284412221,2.676421377412197e-06,9.128381402258601e-06
83,nice to meet everyone,0,0.9998137846362574,0.9997293121484646,8.447248779275274e-05,4.5808653351005316e-05
84,why are you guys picking before we talk about it?,76,0.9997307039880692,0.9997187662537166,1.1937734352596152e-05,6.185545168199347e-05
85,that's jet li,22,2.941383780879938,2.792625051548908,0.14875872933103018,0.11475557292545838
86,firstname lastname as in the failed politician? lol,71,0.8499939644773735,0.7447523425042673,0.10524162197310627,0.09356876727749143
87,she isn't talking sounds like a mob goon to me,83,1.989891256238804,2.098712583394377,0.10882132715557313,0.17636755963001124
88,oh,36,0.9346659307037376,0.9458414473787204,0.011175516674982844,0.012199646172912618
89,who do you want to select?,76,0.9996457441478059,0.9997187662537166,7.302210591064728e-05,6.185545168199347e-05
90,who was deleted in the day part?,97,1.4403524118710962,1.599938102340671,0.15958569046957471,0.1153293567593152
91,let's do firstname or firstname ,82,0.9998507331542584,0.999850210406959,5.227472994473459e-07,9.529730017608334e-06
92,firstname,3,0.7189234777004523,0.7445590811429962,0.025635603442543897,0.029393247624748563
93,firstname then,82,0.9998491383550031,0.999850210406959,1.0720519558748975e-06,9.529730017608334e-06
94,good for me,74,0.9839276996050026,0.9883353677274148,0.004407668122412223,0.0021239652227093113
95,you are right my mistake,45,1.6701595356439416,1.4938100838787516,0.17634945176519,0.17078844096708007
96,why did you choose me,16,0.7486490506607693,0.8110822383074753,0.06243318764670602,0.0350383483298698
97,firstname are you related to jet,98,0.8843476455509962,0.8605426550854535,0.02380499046554274,0.016471891065239226
98,i barra going to beat you up,74,0.9903745258106539,0.9883353677274148,0.0020391580832390677,0.0021239652227093113
99,hello all,0,0.9997058824026208,0.9997293121484646,2.342974584379487e-05,4.5808653351005316e-05
100,i missed you guys,49,6.304412605812476,6.231880090641718,0.07253251517075743,0.14685737789169545
101,why'd the mob whack the person everyone was voting for they should've left him alive to distract from them,83,2.085811120664643,2.098712583394377,0.012901462729734359,0.17636755963001124
102,i wonder if firstname lastname is related to firstname lastname the astronaut? ,98,0.8825020220574599,0.8605426550854535,0.0219593669720064,0.016471891065239226
103,firstname lastname,23,1.8457288998726131,1.962241448632654,0.11651254876004091,0.12492026798941329
104,hi,8,0.9999974235229239,0.999997510901533,8.737860912599871e-08,1.765725298009044e-07
105,firstname lastname,23,1.8457288998726131,1.962241448632654,0.11651254876004091,0.12492026798941329
106,what is happening,22,2.8463347284971303,2.792625051548908,0.053709676948222373,0.11475557292545838
107,"so far so good, but maybe we shouldn't have gotten rid of firstname so soon. my bad",1,0.9500615450455238,0.9528044425537741,0.002742897508250297,0.004265219544808686
108,yeah that was bad,74,0.9894009597515588,0.9883353677274148,0.0010655920241440242,0.0021239652227093113
109,you pick this time,76,0.9996841033754825,0.9997187662537166,3.466287823405967e-05,6.185545168199347e-05
110,i already voted for firstname,57,4.318994793157869,4.384021632424081,0.06502683926621167,0.08720352297895374
111,quick with the lastname vote already...,57,4.5988539344846515,4.384021632424081,0.2148323020605707,0.08720352297895374
112,hmmm again the mob did a no kill,83,1.9825338740726781,2.098712583394377,0.11617870932169905,0.17636755963001124
113,hi all!,0,0.9997039452605848,0.9997293121484646,2.536688787979635e-05,4.5808653351005316e-05
114,hmm,13,10.110213208016665,10.155813942738078,0.045600734721412906,0.06332899782991863
115,firstname was the first voter last time...,71,0.6539595800968314,0.7447523425042673,0.09079276240743583,0.09356876727749143
116,day,62,4.860201107059578,4.990670841666734,0.13046973460715616,0.10982352348456298
117,hi,8,0.9999974235229239,0.999997510901533,8.737860912599871e-08,1.765725298009044e-07
118,nice to meet you all,0,0.9997947825093916,0.9997293121484646,6.54703609269669e-05,4.5808653351005316e-05
119,why is everyone choosing firstname?,51,0.9999127264680708,0.9999130636934231,3.372253523092894e-07,6.687429383198461e-06
120,well now i feel bad,74,0.9853087810016813,0.9883353677274148,0.0030265867257335266,0.0021239652227093113
121,"guys, no",49,6.2550807463174865,6.231880090641718,0.02320065567576801,0.14685737789169545
122,i wonder if the mob is purposefully not getting rid of people at night and instead trying to do it during the day? how many can be in the mafia? ,47,0.6831782308642774,0.6663907601643864,0.01678747069989106,0.08073377964213072
123,hola,22,2.670963287874902,2.792625051548908,0.12166176367400583,0.11475557292545838
124,yeah he's been the first voter twice,12,14.231926133675708,14.141426684408504,0.09049944926720421,0.06588901518489934
125,what should we do now?,39,9.217037589757576,9.106968706428189,0.11006888332938658,0.14083432353647107
126,espinoze to make it seem less suspicious?,27,11.229960070641313,11.18416213148191,0.045797939159403,0.0855468684014906
127,"ok, wow",55,0.8832582807886193,0.9328362459290007,0.049577965140381375,0.12545048808376122
128,1 or more,96,5.312453647834251,5.350871185813003,0.038417537978752136,0.1370070638998671
129,that would be a lonely night if there was only 1,97,1.693903882998606,1.599938102340671,0.09396578065793504,0.1153293567593152
130,i think it's random,46,6.549144087285193,6.554985844094832,0.005841756809638277,0.07892802030763756
131,whoa! i'm confused,50,12.354365620157028,12.361733751288014,0.007368131130986555,0.08639634534763625
132,lastname then,23,2.1827896669625564,1.962241448632654,0.22054821832990235,0.12492026798941329
133,there's at least 1,96,5.185301586249761,5.350871185813003,0.16556959956324224,0.1370070638998671
134,good for me,74,0.9839276996050026,0.9883353677274148,0.004407668122412223,0.0021239652227093113
135,yeah me too,43,0.5559440033275208,0.5847759163779362,0.028831913050415436,0.09514179471623053
136,lastname's acting suspicious,27,11.120357390568609,11.18416213148191,0.06380474091330157,0.0855468684014906
137,"i'm not, but i certainly can see how it would be suspicious. at this point, i don't know what's going on",27,11.119611196017615,11.18416213148191,0.06455093546429502,0.0855468684014906
138,so far we haven't found any mob goons,83,2.075565228381239,2.098712583394377,0.02314735501313825,0.17636755963001124
139,"i keep having to scroll up to see how much time is lef, lol",61,0.888140305756091,0.8486199102987573,0.03952039545733377,0.03075818388192046
140,left,6,4.858567076131887,4.901966107264757,0.04339903113286958,0.13134482395259425
141,i'm going with firstname on this one,82,0.9998425601984288,0.999850210406959,7.650208530218805e-06,9.529730017608334e-06
142,firstname was the deciding vote last day.  could he be mafia?,14,5.917538798541542,5.962451794024361,0.04491299548281891,0.06878185089332184
143,for having an opinion?  sure,99,10.127024239137889,10.067090541389126,0.05993369774876278,0.09218508946528184
144,maybe its you firstname,51,0.999925725895512,0.9999130636934231,1.2662202088842278e-05,6.687429383198461e-06
145,i say lets get rid of firstname,59,33.07687935633085,33.13409368185245,0.05721432552159911,0.06970708567874426
146,hey,73,1.7146920121417615,1.7733712344215644,0.058679222279802934,0.12061786710499356
147,hi!,8,0.9999976262077402,0.999997510901533,1.1530620724897744e-07,1.765725298009044e-07
148,"so, how's all you'se doin'.",81,13.683917038251476,13.71713601663788,0.03321897838640453,0.10960820310357455
149,hi yall,8,0.9999979677816171,0.999997510901533,4.5688008409872083e-07,1.765725298009044e-07
150,whodunnit,97,1.5665195258928233,1.599938102340671,0.033418576447847625,0.1153293567593152
151,is that english?,99,10.17834230451657,10.067090541389126,0.111251763127445,0.09218508946528184
152,colonel mustard in the library with the candlestick,40,0.9904667162411985,0.9897263100237156,0.0007404062174829473,0.0018396536777035685
153,wrong game,52,12.640802116569517,12.695539957913217,0.054737841343699856,0.09261368918169911
154,who's the mouthiest???,48,1.5331837182952968,1.2472438855734946,0.2859398327218021,0.2494141482093307
155,you'se better not be think'in of pushin' a button on firstname lefty lastname!,53,0.9999980555558683,0.9999977717577576,2.8379811067846816e-07,2.3375600518710038e-07
156,eyy fuggeddaboutit,22,2.8557523922594497,2.792625051548908,0.06312734071054171,0.11475557292545838
157,hey i'm just playin' wit' you'se.,52,12.735611518975514,12.695539957913217,0.04007156106229637,0.09261368918169911
158,who do you all want eliminate?,68,7.7423444589940935,7.824409845299352,0.08206538630525806,0.11708038000301893
159,just chat,62,5.117899263953548,4.990670841666734,0.12722842228681408,0.10982352348456298
160,oh really,36,0.9381915141417015,0.9458414473787204,0.007649933237018902,0.012199646172912618
161,going to eliminate you..ah aha,68,7.864040766653541,7.824409845299352,0.03963092135418922,0.11708038000301893
162,hello,38,0.9998529520198447,0.9998556284412221,2.676421377412197e-06,9.128381402258601e-06
163,matt has a lot to say...,58,1.1255162636919993,0.9268439887271519,0.1986722749648474,0.13259817901605783
164,hey,73,1.7146920121417615,1.7733712344215644,0.058679222279802934,0.12061786710499356
165,oh yeah,36,0.9359485717543617,0.9458414473787204,0.009892875624358699,0.012199646172912618
166,"hi, i vote for firstname",57,4.338802880309045,4.384021632424081,0.04521875211503623,0.08720352297895374
167,it's too dark to see the screen,29,0.9865796520811342,0.9863206107627364,0.0002590413183978235,0.0013897498500105056
168,yeah lets kill off firstname!,59,33.19598223681791,33.13409368185245,0.06188855496546353,0.06970708567874426
169,who's next?,48,0.9006199735818315,1.2472438855734946,0.3466239119916631,0.2494141482093307
170,he;s already dead..how about firstname,53,0.9999979669026341,0.9999977717577576,1.951448764803132e-07,2.3375600518710038e-07
171,yeah! that guy's a rat fink.,40,0.9914589995820446,0.9897263100237156,0.0017326895583290591,0.0018396536777035685
172,damn those instant votes,84,12.241480737619685,12.21518679428197,0.026293943337716286,0.06166262861509279
173,i'm an upstandin' citzen!,10,3.411070929941147,3.4693668138381617,0.0582958838970149,0.05323755099530851
174,peace out,66,8.994888932307488,8.856963948428154,0.1379249838793335,0.20824101648501406
175,a bidnessman!,50,12.388556480339254,12.361733751288014,0.026822729051239946,0.08639634534763625
176,i hate the scrolling,89,4.28898354938505,4.432257687139659,0.1432741377546085,0.14111313708476073
177,firstname is history,98,0.8526829970694334,0.8605426550854535,0.007859658016020066,0.016471891065239226
178,hi there,8,0.9999979173623211,0.999997510901533,4.0646078813821873e-07,1.765725298009044e-07
179,hello,38,0.9998529520198447,0.9998556284412221,2.676421377412197e-06,9.128381402258601e-06
180,hahahahaha,2,18.9879940350332,18.942110806865355,0.0458832281678454,0.17193686878325795
181,go for firstname,82,0.9998459944829687,0.999850210406959,4.215923990247283e-06,9.529730017608334e-06
182,or firstname,82,0.9998492677546124,0.999850210406959,9.426523466249392e-07,9.529730017608334e-06
183,"any of you'se want a big screen tv, i got a bunch of 'em, 80% off!",96,5.656585999878252,5.350871185813003,0.30571481406524903,0.1370070638998671
184,kill me first..hahahah,35,8.696586200855974,8.801501089025187,0.10491488816921368,0.11080052756216897
185,thank you,55,0.842132544433938,0.9328362459290007,0.09070370149506268,0.12545048808376122
186,hello,38,0.9998529520198447,0.9998556284412221,2.676421377412197e-06,9.128381402258601e-06
187,"firstname lastname was pretty quick to cast her vote, seems suspicious to me",71,0.7071331677485273,0.7447523425042673,0.03761917475573995,0.09356876727749143
188,rip firstname,3,0.8012496614156348,0.7445590811429962,0.056690580272638624,0.029393247624748563
189,i dindu nuffin,22,2.934135566549537,2.792625051548908,0.14151051500062906,0.11475557292545838
190,rip me,67,0.9970706848693698,0.9979666090711544,0.0008959242017846369,0.0003859492433240073
191,gg mafia,56,36.21991098795763,36.05753173246011,0.16237925549751964,0.06841589000406181
192,i say firstname is next,82,0.9998446258283294,0.999850210406959,5.584578629536097e-06,9.529730017608334e-06
193,"pick one,  i can barely read the text",89,4.485949109564649,4.432257687139659,0.05369142242498981,0.14111313708476073
194,ok greg you;'re dead to me,67,0.9981822573051801,0.9979666090711544,0.00021564823402564492,0.0003859492433240073
195,who got voted off the island?,69,7.173303765554048,7.056731389928157,0.11657237562589096,0.07095612082115835
196,that sounds suspicious...,27,11.095492250912198,11.18416213148191,0.08866988056971259,0.0855468684014906
197,it seems like firstname lastname is trying to intimidate us!,51,0.9999202846942009,0.9999130636934231,7.221000777768438e-06,6.687429383198461e-06
198,sorry firstname :(,37,19.817514544444187,19.8389847999226,0.021470255478412525,0.10570666192442092
199,firstname is still trying to intimidate us!,51,0.9999115461401457,0.9999130636934231,1.517553277485817e-06,6.687429383198461e-06
200,firstname?,3,0.7323999396891628,0.7445590811429962,0.012159141453833344,0.029393247624748563
201,sorry firstname you seem to protest too much :(,37,20.010401023475108,19.8389847999226,0.17141622355250874,0.10570666192442092
202,firstname next...,53,0.9999976939153078,0.9999977717577576,7.784244981934307e-08,2.3375600518710038e-07
203,"sorry firstname, but you sound suspicious",27,11.092798234309827,11.18416213148191,0.0913638971720836,0.0855468684014906
204,see ya greg,5,0.9750819502781672,0.9664023612777154,0.008679589000451848,0.008483793331903746
205,firstname was suicidial,98,0.8703737165136434,0.8605426550854535,0.009831061428189902,0.016471891065239226
206,haha,2,18.7997317465646,18.942110806865355,0.14237906030075465,0.17193686878325795
207,'day fell off a truck.,65,0.8818770117074151,0.8724018873219016,0.009475124385513456,0.022642954448292816
208,:d,77,0.679001586741383,0.7867987614941969,0.10779717475281392,0.109258978946696
209,firstname,3,0.7189234777004523,0.7445590811429962,0.025635603442543897,0.029393247624748563
210,hi,8,0.9999974235229239,0.999997510901533,8.737860912599871e-08,1.765725298009044e-07
211,hello,38,0.9998529520198447,0.9998556284412221,2.676421377412197e-06,9.128381402258601e-06
212,hi,8,0.9999974235229239,0.999997510901533,8.737860912599871e-08,1.765725298009044e-07
213,get ya,5,0.9697126899580806,0.9664023612777154,0.003310328680365182,0.008483793331903746
214,who now?,39,8.979966403395252,9.106968706428189,0.12700230303293658,0.14083432353647107
215,okays,7,0.7698336575514466,0.34595400517246344,0.4238796523789832,0.2732986159199743
216,hey,73,1.7146920121417615,1.7733712344215644,0.058679222279802934,0.12061786710499356
217,oh no!,50,12.218081001338247,12.361733751288014,0.1436527499497675,0.08639634534763625
218,lolz,36,0.9569031768094876,0.9458414473787204,0.011061729430767109,0.012199646172912618
219,terry has died :(,67,0.9981994920366686,0.9979666090711544,0.00023288296551415844,0.0003859492433240073
220,hi,8,0.9999974235229239,0.999997510901533,8.737860912599871e-08,1.765725298009044e-07
221,going very well,81,13.695645426064251,13.71713601663788,0.02149059057362912,0.10960820310357455
222,firstname next,23,2.0369737686692027,1.962241448632654,0.07473232003654862,0.12492026798941329
223,wow what a game,52,12.581544951283778,12.695539957913217,0.11399500662943929,0.09261368918169911
224,hi,8,0.9999974235229239,0.999997510901533,8.737860912599871e-08,1.765725298009044e-07
225,if you are in the mafia please say so,56,36.05440352138487,36.05753173246011,0.0031282110752428594,0.06841589000406181
226,want to eliminate firstname?,59,33.08631666168753,33.13409368185245,0.04777702016491503,0.06970708567874426
227,hello,38,0.9998529520198447,0.9998556284412221,2.676421377412197e-06,9.128381402258601e-06
228,hey!,73,1.8288091052216697,1.7733712344215644,0.055437870800105316,0.12061786710499356
229,how is everyone?,81,13.537741637879877,13.71713601663788,0.17939437875800301,0.10960820310357455
230,firstname,3,0.7189234777004523,0.7445590811429962,0.025635603442543897,0.029393247624748563
231,who should we eliminate,94,0.8354954519257977,0.851036911743557,0.01554145981775934,0.020317052983470377
232,sounds good,18,0.6251681227772145,0.7356155376044243,0.11044741482720988,0.07672722777188604
233,firstname lastname,23,1.8457288998726131,1.962241448632654,0.11651254876004091,0.12492026798941329
234,hello,38,0.9998529520198447,0.9998556284412221,2.676421377412197e-06,9.128381402258601e-06
235,"hello, who should we eliminate?",94,0.8354487419836594,0.851036911743557,0.01558816975989763,0.020317052983470377
236,poor firstname lol,51,0.9999103613712079,0.9999130636934231,2.7023222152200432e-06,6.687429383198461e-06
237,"hi, this is firstname, don't vote for me!",57,4.421503201095358,4.384021632424081,0.03748156867127683,0.08720352297895374
238,i agree to eliminate firstname,59,33.08449592394831,33.13409368185245,0.04959775790413801,0.06970708567874426
239,shall we vote out firstname lastname,57,4.349007919720235,4.384021632424081,0.03501371270384546,0.08720352297895374
240,who to vote out? firstname lastname?,57,4.375261471469499,4.384021632424081,0.008760160954581764,0.08720352297895374
241,vote out firstname,57,4.333179407370239,4.384021632424081,0.050842225053841616,0.08720352297895374
242,firstname is a sweetheart,93,40.73561998289163,40.689548484544986,0.046071498346641704,0.05203896464367442
243,i will haunt you,40,0.9881684073033077,0.9897263100237156,0.0015579027204079,0.0018396536777035685
244,oh no firstname lol,93,40.63452657781114,40.689548484544986,0.05502190673384888,0.05203896464367442
245,hello,38,0.9998529520198447,0.9998556284412221,2.676421377412197e-06,9.128381402258601e-06
246,hi! ,8,0.9999976262077402,0.999997510901533,1.1530620724897744e-07,1.765725298009044e-07
247,"great! so, who do we vote for?",11,2.571251634478184,2.6346271547395683,0.06337552026138438,0.06510981355769535
248,lol touche,22,2.8730314444515925,2.792625051548908,0.08040639290268459,0.11475557292545838
249,looks like firstname isn't doing so hot,51,0.9999191066606411,0.9999130636934231,6.042967217956274e-06,6.687429383198461e-06
250,good morning!,32,7.280582620487869,7.453248793542247,0.17266617305437837,0.142773291498628
251,jeffery,5,0.9770085708886113,0.9664023612777154,0.010606209610895867,0.008483793331903746
252,noooooooo!,50,12.262621842683123,12.361733751288014,0.0991119086048915,0.08639634534763625
253,hi everyone! ,0,0.9997005053566205,0.9997293121484646,2.8806791844138147e-05,4.5808653351005316e-05
254,fine thanks. who should we eliminate?,94,0.8414581972711243,0.851036911743557,0.009578714472432748,0.020317052983470377
255,"yeah, i think firstname seems to be the popular choice.",82,0.9998524729967461,0.999850210406959,2.262589787083158e-06,9.529730017608334e-06
256,hello again everyone!,26,12.243227783077609,12.138052606700654,0.10517517637695484,0.08624934014093313
257,hi,8,0.999997494902811,0.999997510901533,1.599872201385466e-08,1.765725298009044e-07
258,depends on who you are,74,0.9897608555918075,0.9883353677274148,0.0014254878643926716,0.0021239652227093113
259,i don't see him on here conversing ,58,0.9307209183357337,0.9268439887271519,0.0038769296085817695,0.13259817901605783
260,hmmm,13,10.117188600221658,10.155813942738078,0.03862534251642025,0.06332899782991863
261,have a good night muwhwhw,32,7.652255116372779,7.453248793542247,0.19900632283053188,0.142773291498628
262,haha,2,18.7997317465646,18.942110806865355,0.14237906030075465,0.17193686878325795
263,i can second that,79,8.180557633014166,8.188325033528246,0.007767400514079981,0.13092426839597565
264,"lol! awe, firstname",53,0.9999978651552738,0.9999977717577576,9.339751616543879e-08,2.3375600518710038e-07
265,i see you firstname,93,40.67684224085976,40.689548484544986,0.012706243685222773,0.05203896464367442
266,i see you,22,2.818782077457988,2.792625051548908,0.0261570259090802,0.11475557292545838
267,<3,77,0.9107256477013478,0.7867987614941969,0.12392688620715087,0.109258978946696
268,who should we vote out?,60,0.6758252924052692,0.694211056443946,0.018385764038676755,0.04514529488419193
269,any mafia in here?,56,36.01846771631496,36.05753173246011,0.03906401614515431,0.06841589000406181
270,"hmm, i think we should actually vote out firstname. he seems too eager to kick people out.",57,4.52674094357519,4.384021632424081,0.14271931115110892,0.08720352297895374
271,morning! who do you think we should eliminate today?,94,0.8603381783842896,0.851036911743557,0.009301266640732608,0.020317052983470377
272,"i'm going to vote for firstname lastname, because he seems to like kicking people out.",57,4.477820093256125,4.384021632424081,0.09379846083204413,0.08720352297895374
