,sentence,cluster,distance_from_cluster_center,deviation_from_mean_dist_from_center,cluster_distance_std_from_center
242,firstname is a sweetheart,38,0.9999999951040519,9.19605390725664e-08,4.443830107220432e-08
243,i will haunt you,54,0.9583685751550183,0.010895331114447737,0.01173577092837348
244,oh no firstname lol,9,1.7233582109056353,0.15189010038203699,0.09260394480264153
245,hello,10,0.9982400858237978,3.392152144787719e-05,9.60678253491835e-05
246,hi! ,3,0.9999999540256894,3.0786965199425254e-09,3.801308636795539e-08
247,"great! so, who do we vote for?",72,17.924011800752645,0.041633167671754734,0.0859338212407025
248,lol touche,28,19.104103424822316,0.003498844474581375,0.08485757669427652
249,looks like firstname isn't doing so hot,38,0.9999999468375578,4.369404493775875e-08,4.443830107220432e-08
250,good morning!,97,4.69100150582623,0.16278223494663902,0.18069295397929336
251,jeffery,68,0.8814441436423862,0.03181091339104025,0.04611008703408091
252,noooooooo!,19,3.0990059855113183,0.1903586767516665,0.15588119252524962
253,hi everyone! ,90,0.9764660167337899,0.0005533313680733398,0.0011704258169573007
254,fine thanks. who should we eliminate?,35,0.41210184115490256,0.08585927951403743,0.14858986104472496
255,"yeah, i think firstname seems to be the popular choice.",17,0.9850029209958654,5.880757812537496e-05,0.0011995359741607035
256,hello again everyone!,42,0.6446900608927766,0.009591527096736385,0.05028870661417128
257,hi,3,1.0000000238172235,6.671283758752367e-08,3.801308636795539e-08
258,depends on who you are,39,10.52291860172206,0.0641844199471926,0.13020163531737813
259,i don't see him on here conversing ,21,0.8668737904224029,0.007520587468615059,0.034088833744323414
260,hmmm,31,10.117188600221656,0.03862534251642025,0.06332899782991944
261,have a good night muwhwhw,0,1.6277049833447206,0.14920724497346827,0.11146757069160446
262,haha,79,16.747245692307697,0.08384329233198429,0.11230814425092658
263,i can second that,34,0.9256973846981336,0.11461664582492037,0.11250250148932063
264,"lol! awe, firstname",9,1.893550102706473,0.018301791418800617,0.09260394480264153
265,i see you firstname,22,0.9989898173235533,0.00017550353019191167,0.00010996045521027704
266,i see you,23,8.733301841626378,0.07573052310864803,0.13773266998090306
267,<3,66,0.8913737587672372,0.019651165360436873,0.03630816106266816
268,who should we vote out?,35,0.6815490025772141,0.18358788190827408,0.14858986104472496
269,any mafia in here?,91,20.765253930607695,0.019086850386763388,0.06228404197891624
270,"hmm, i think we should actually vote out firstname. he seems too eager to kick people out.",2,16.02655646179537,0.009429288925261403,0.12074345399439528
271,morning! who do you think we should eliminate today?,35,0.5994523028027241,0.10149118213378411,0.14858986104472496
272,"i'm going to vote for firstname lastname, because he seems to like kicking people out.",2,16.041195119867343,0.005209369146712106,0.12074345399439528
273,"good morning, who do we vote on next?",72,17.906447862245763,0.059197106178636716,0.0859338212407025
274,sorry firstname!,18,23.475950087526478,0.08025753853041095,0.10713513142133453
275,hopefully firstname doesn't kill me.,38,0.9999998721245767,3.1018936086368853e-08,4.443830107220432e-08
276,its all part of the game :),26,10.195804388223488,0.043044841681629364,0.07896401502203249
277,firstname lastname,29,0.8864944081672624,0.010675402819195434,0.011152078440496593
278,idk,63,0.6931856589366604,0.06903018804736782,0.09912567052953475
279,good night firstname,38,0.999999832348073,7.079543984378489e-08,4.443830107220432e-08
280,hello,10,0.9982400858237978,3.392152144787719e-05,9.60678253491835e-05
281,hello,10,0.9982400858237978,3.392152144787719e-05,9.60678253491835e-05
282,who do we eliminate ?,35,0.4355994526538941,0.06236166801504589,0.14858986104472496
283,hi!,3,0.9999999540256894,3.0786965199425254e-09,3.801308636795539e-08
284,lol,6,0.8629278810275653,0.005801551581666176,0.015226810279332762
285,i vote for john,72,17.990204232658897,0.02455926423449739,0.0859338212407025
286,voting for firstname then,20,0.7055430246525567,0.0525234834503715,0.12742356919596573
287,ok i too will vote that,44,19.25689752670157,0.029405023138075137,0.07372892858599005
288,hi,3,1.0000000238172235,6.671283758752367e-08,3.801308636795539e-08
289,hi ,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
290,woo,27,0.7485893608463565,0.037128911774164775,0.11967304922544206
291,who's next? does anyone have any leads?,55,0.9279160913050196,0.0020832816456058945,0.21782119477181203
292,since theres only two roles we sort of have to random lastname,2,16.28883484152728,0.25284909080664875,0.12074345399439528
293,idk firstname voted for firstname that's the only lead,20,0.7630934962542638,0.005026988151335621,0.12742356919596573
294,"firstname did ""yesterday""",71,0.9740573372545254,0.08941316961702084,0.12963946403384116
295,he could have voted for firstname to try to provide her cover,50,0.9876910002628857,0.0038966205736057358,0.0017317456183443601
296,if shes the other maf,52,0.9873816737832946,0.001471582116533865,0.0022584809093201684
297,how about firstname since he voted for firstname,20,0.8039630817055624,0.045896573602634216,0.12742356919596573
298,hmm,31,10.110213208016663,0.045600734721412906,0.06332899782991944
299,why did firstname lastname random voe firstname,50,0.982743906685297,0.0010504730039829768,0.0017317456183443601
300,thats sus,34,0.8180877808183094,0.00700704194509616,0.11250250148932063
301,well we have to make a decision.,57,14.17839719003731,0.13170861965518554,0.09297271776846235
302,^,66,0.857971211972179,0.013751381434621401,0.03630816106266816
303,no,5,0.5049470166281936,0.3504127580763706,0.2946860553045414
304,he misttyped in the box at the start of day ,85,0.9772190613204152,0.0009828216567899783,0.004378653868800222
305,we all could see it,23,8.79053433221857,0.13296301370083974,0.13773266998090306
306,are we going for lastname?,29,0.908470074427504,0.011300263441046177,0.011152078440496593
307,no,5,0.5049470166281936,0.3504127580763706,0.2946860553045414
308,i couldnt ,62,0.969609655146871,0.15543019561161864,0.17322507983521485
309,firstname was trying to talk at night so he is mafia,4,0.9903764773157835,6.664542186907152e-05,0.0007902048539898131
310,yeah i agree,36,9.023867239900339,0.022290296589085656,0.12462998059354097
311,hello,10,0.9982400858237978,3.392152144787719e-05,9.60678253491835e-05
312,i'm going to vote for firstname,20,0.6747961383685596,0.08327036973436863,0.12742356919596573
313,only the people who can sse firstname message is other mafia ,4,0.9917135341449699,0.0012704114073173178,0.0007902048539898131
314,no because no one said anything.,98,4.012536097287095,0.12362025863176829,0.10166801308905302
315,i am a bystander though since i lead the firstname lastname.,46,0.8791730815086137,0.01828873208972759,0.019604320906268947
316,firstname was also the last to vote firstname.,20,0.7745959786704232,0.016529470567494986,0.12742356919596573
317,i knew because i played mafia on epicmafia where that kind of slip happens all the time,59,0.9963161552713165,0.0013463342322882488,0.0006634340364248014
318,100% firstname,22,0.9989412447163692,0.0001269309230078619,0.00010996045521027704
319,sure why not,62,0.6743168904922175,0.13986256904303485,0.17322507983521485
320,just trust,96,3.65558561480643,0.09379996981199357,0.11469582999844267
321,because theres no cop role youre gonna have to trust me,96,3.810355601338296,0.060970016719872344,0.11469582999844267
322,hmm,31,10.110213208016663,0.045600734721412906,0.06332899782991944
323,okay then,13,0.8495192285776044,0.2801261757871487,0.26317258144691374
324,hi,3,0.9999999524373366,4.6670493025757764e-09,3.801308636795539e-08
325,voting firstname,20,0.563560803890213,0.19450570421271518,0.12742356919596573
326,oh it's just me now,64,0.957671709944438,0.007491728865406055,0.0072827759095829125
327,no,5,0.5049470166281936,0.3504127580763706,0.2946860553045414
328,or did you know because you were the one talking to him at night,96,3.7955543498908466,0.046168765272422974,0.11469582999844267
329,firstname was quick to vote,20,0.7200541812929708,0.038012326809957364,0.12742356919596573
330,why?,92,8.820534973683369,0.11590956945389586,0.12663097291953926
331,did the game break,85,0.9749503549203331,0.001285884743292165,0.004378653868800222
332,"hello, we should eliminate firstname",77,0.4983189007475208,0.061217918785269,0.07045117828295144
